PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
53,0,1,"Davies, Mr. George",male,25.6,0,0,TICK69418,45.7,C103,S
54,1,2,"Lindblom, Mrs. Mary",female,37.3,0,0,TICK69291,4.28,,Q
55,0,2,"Olsson, Mr. James",male,34.6,3,0,TICK86713,15.84,,C
56,0,1,"Carlsson, Mrs. Florence",female,31.7,0,0,TICK87350,45.73,B109,S
57,1,3,"Andersson, Mrs. Mary",female,,1,0,TICK10620,5.71,,C
58,0,2,"Smith, Mr. Charles",male,36.0,0,0,TICK17708,24.9,,C
59,0,3,"Davies, Mr. William",male,44.2,0,0,TICK54165,2.73,G74,S
60,0,3,"Brown, Mrs. Helen",female,42.1,1,3,TICK36720,10.47,,S
61,1,3,"Sundman, Miss. Florence",female,32.0,0,0,TICK96100,20.47,,S
62,1,3,"Carlsson, Master. John",male,8.8,2,1,TICK13068,16.14,,S
63,0,3,"Brown, Mrs. Anna",female,41.3,0,0,TICK71343,40.16,,C
64,1,1,"Brown, Miss. Anna",female,,0,0,TICK56901,70.72,D85,C
65,1,2,"Andersson, Miss. Florence",female,0.5,1,0,TICK23123,20.55,,S
66,0,1,"Williams, Mr. James",male,,0,0,TICK65322,59.48,D29,S
67,1,2,"Andersson, Master. John",male,9.6,0,1,TICK54463,5.57,,S
68,1,1,"Petroff, Miss. Anna",female,12.1,0,0,TICK32856,90.05,A38,S
69,0,3,"Johnson, Mr. Thomas",male,20.7,0,0,TICK21259,12.37,,S
70,0,1,"Carlsson, Mr. George",male,45.5,0,0,TICK14994,79.05,G109,S
71,0,3,"Carlsson, Mr. William",male,24.2,1,1,TICK94243,4.11,,S
72,0,2,"Carlsson, Mr. Henry",male,32.5,1,3,TICK51745,15.03,,S
73,0,3,"Smith, Miss. Elizabeth",female,51.7,0,0,TICK70959,3.69,,S
74,0,3,"Carlsson, Mr. James",male,49.7,0,1,TICK25092,3.29,,Q
75,1,1,"Smith, Miss. Helen",female,27.7,4,3,TICK93146,107.6,C21,S
76,0,3,"Carlsson, Mr. Thomas",male,,0,0,TICK27508,3.02,,S
77,1,3,"Sundman, Miss. Helen",female,12.6,1,0,TICK84824,5.01,,C
78,0,3,"Murphy, Mr. James",male,20.0,0,0,TICK44318,13.24,,S
79,0,3,"Carlsson, Mr. James",male,34.5,1,0,TICK25358,1.54,,S
80,0,1,"Lindblom, Mr. William",male,34.1,0,0,TICK95055,31.3,,S
81,0,1,"Olsson, Mr. Thomas",male,30.4,1,2,TICK25529,58.63,F5,C
82,0,3,"Davies, Mr. Charles",male,,1,0,TICK42402,2.73,,S
83,1,3,"Petroff, Miss. Florence",female,,1,0,TICK30122,7.58,,S
84,1,1,"Lindblom, Mr. George",male,28.3,0,0,TICK73831,97.13,G10,S
85,0,3,"Andersson, Mr. Charles",male,,1,0,TICK95592,7.65,,S
86,1,3,"Smith, Mrs. Elizabeth",female,36.6,0,0,TICK43521,24.53,,C
87,1,3,"Brown, Mrs. Ruth",female,42.9,0,1,TICK30657,10.35,,S
88,1,2,"Olsson, Miss. Anna",female,,0,0,TICK46472,17.35,,Q
89,0,2,"Lindblom, Mr. Charles",male,,0,0,TICK57339,12.73,,S
90,0,1,"Murphy, Mr. John",male,33.7,0,0,TICK22609,121.49,,C
91,0,1,"Sundman, Mr. James",male,16.0,2,0,TICK38823,131.22,D43,S
92,1,3,"Andersson, Master. Henry",male,7.7,0,0,TICK26613,6.48,,S
93,0,3,"Petroff, Mr. James",male,36.5,0,0,TICK73470,5.75,,S
94,0,3,"Smith, Mr. James",male,,0,0,TICK79356,3.13,,S
95,1,2,"Andersson, Mr. Thomas",male,33.0,1,0,TICK24919,10.86,,S
96,1,3,"Carlsson, Master. Charles",male,6.9,0,0,TICK48632,5.73,,S
97,1,1,"Davies, Mrs. Florence",female,24.3,0,0,TICK75865,84.49,C14,S
98,0,2,"Sundman, Mr. James",male,21.2,1,0,TICK35675,33.68,,S
99,1,1,"Murphy, Mr. Charles",male,,0,1,TICK21626,47.82,E12,S
100,1,1,"Smith, Miss. Helen",female,0.5,0,1,TICK98834,14.76,D31,S
101,0,3,"Andersson, Mr. Henry",male,,0,2,TICK34587,10.93,,C
102,0,3,"Lindblom, Mr. George",male,40.7,0,1,TICK89033,8.32,,S
103,0,2,"Andersson, Mr. William",male,,1,0,TICK43099,14.7,,Q
104,0,3,"Smith, Mr. George",male,,0,0,TICK33789,23.6,,C
105,0,3,"Carlsson, Mr. James",male,28.8,0,1,TICK33924,3.9,,S
106,1,2,"Andersson, Mr. John",male,,0,0,TICK49083,9.84,,C
107,0,3,"Davies, Mr. Henry",male,,0,0,TICK67915,3.78,,S
108,1,3,"Olsson, Miss. Helen",female,27.4,0,0,TICK61023,14.22,,S
109,1,2,"Williams, Miss. Elizabeth",female,36.1,0,1,TICK74614,17.8,,C
110,0,3,"Andersson, Mr. Thomas",male,37.9,3,0,TICK24953,8.0,,C
111,0,3,"Carlsson, Mr. John",male,,0,0,TICK73472,5.42,,S
112,0,3,"Andersson, Mr. James",male,43.8,0,0,TICK48453,6.79,,C
113,1,1,"Johnson, Mrs. Ruth",female,33.1,0,0,TICK89841,31.33,B99,S
114,1,3,"Johnson, Mrs. Florence",female,32.9,1,0,TICK35562,19.76,,S
115,0,1,"Johnson, Mr. Thomas",male,39.2,1,0,TICK56999,76.21,B41,S
116,1,3,"Andersson, Miss. Mary",female,,0,0,TICK82927,5.73,,S
117,1,3,"Smith, Mr. Charles",male,28.5,1,0,TICK22660,17.89,,S
118,1,1,"Sundman, Mr. William",male,40.8,0,0,TICK18509,88.48,G43,S
119,0,2,"Johnson, Mr. Charles",male,54.4,3,1,TICK88120,14.52,,S
120,1,3,"Johnson, Miss. Margaret",female,26.9,0,0,TICK99227,8.97,,C
121,0,1,"Carlsson, Mr. William",male,28.4,0,0,TICK41751,38.69,D80,Q
122,0,3,"Johnson, Mr. John",male,31.6,1,3,TICK31199,11.24,,S
123,0,3,"Sundman, Mr. John",male,,0,0,TICK81151,9.64,,S
124,0,3,"Davies, Mr. Thomas",male,28.6,1,0,TICK39803,48.44,,S
125,0,3,"Andersson, Mr. Charles",male,,0,0,TICK47955,4.83,,S
126,0,1,"Carlsson, Mr. John",male,,0,0,TICK16805,92.21,A44,S
127,1,1,"Smith, Mrs. Helen",female,26.6,0,2,TICK12750,54.24,E115,S
128,1,2,"Davies, Mrs. Florence",female,26.4,1,0,TICK92155,20.95,,S
129,1,1,"Olsson, Mrs. Helen",female,39.2,0,0,TICK16654,17.82,D65,C
130,1,2,"Davies, Mrs. Helen",female,42.6,3,1,TICK84528,4.3,,C
131,1,3,"Sundman, Mrs. Ruth",female,,1,0,TICK82249,8.42,A77,S
132,1,3,"Williams, Mrs. Mary",female,,0,1,TICK16085,5.88,F66,S
133,1,2,"Murphy, Mrs. Florence",female,33.4,0,0,TICK99214,17.19,,S
134,0,2,"Lindblom, Mrs. Mary",female,20.4,1,0,TICK57535,12.76,,S
135,0,3,"Brown, Master. John",male,9.2,0,0,TICK50175,16.91,,C
136,0,2,"Carlsson, Mr. Henry",male,42.5,0,0,TICK45151,31.87,,S
137,1,3,"Olsson, Miss. Helen",female,35.4,0,0,TICK25794,7.16,,S
138,0,3,"Johnson, Mr. Charles",male,35.4,0,0,TICK64545,5.69,A22,C
139,0,3,"Andersson, Mrs. Anna",female,22.8,0,3,TICK93507,12.9,,S
140,1,3,"Murphy, Mr. Charles",male,,0,0,TICK40231,7.67,,S
141,0,3,"Murphy, Mr. James",male,25.9,2,0,TICK34335,12.72,,S
142,1,3,"Smith, Miss. Helen",female,,1,2,TICK96062,30.05,,S
143,0,2,"Petroff, Mr. Thomas",male,17.1,0,0,TICK29186,25.46,,Q
144,0,3,"Smith, Mr. Thomas",male,17.9,0,2,TICK29619,20.21,,S
145,0,2,"Smith, Mr. William",male,31.7,0,1,TICK15166,25.64,,S
146,0,3,"Andersson, Mrs. Florence",female,19.9,4,0,TICK83817,5.81,,Q
147,1,1,"Davies, Mr. George",male,37.8,0,0,TICK65674,129.89,B102,S
148,1,2,"Petroff, Miss. Mary",female,32.4,0,0,TICK34088,16.06,,C
149,0,3,"Murphy, Mr. George",male,17.0,2,0,TICK19593,4.17,G55,S
150,0,3,"Lindblom, Mrs. Helen",female,29.9,0,0,TICK68451,12.21,G72,S
151,0,2,"Brown, Miss. Mary",female,,0,0,TICK26666,35.19,C65,S
152,1,3,"Smith, Miss. Margaret",female,,0,0,TICK48501,18.5,,C
153,0,3,"Sundman, Miss. Margaret",female,20.8,0,2,TICK18470,16.61,,S
154,0,3,"Davies, Mr. Henry",male,23.3,2,0,TICK57328,6.82,B79,S
155,0,3,"Davies, Mr. George",male,,0,3,TICK61084,9.53,,S
156,1,3,"Sundman, Mrs. Helen",female,58.1,0,0,TICK56981,13.44,,S
157,0,2,"Sundman, Mrs. Margaret",female,55.0,0,0,TICK74154,21.22,,S
158,0,2,"Smith, Mr. Charles",male,29.8,1,0,TICK66337,40.59,,S
159,1,1,"Murphy, Mrs. Ruth",female,31.8,0,0,TICK80111,62.56,A31,C
160,0,1,"Smith, Mr. James",male,48.9,2,0,TICK16119,119.77,B81,S
161,0,1,"Sundman, Mr. Henry",male,,2,2,TICK80558,125.35,D24,S
162,0,3,"Smith, Miss. Mary",female,,2,0,TICK15350,8.38,A96,S
163,0,3,"Petroff, Mr. John",male,30.5,0,0,TICK85213,4.54,,S
164,1,1,"Johnson, Mrs. Mary",female,34.9,0,0,TICK97378,89.64,D70,C
165,0,3,"Petroff, Mr. William",male,18.2,0,0,TICK76457,19.87,,S
166,1,3,"Sundman, Miss. Ruth",female,7.6,3,0,TICK32774,7.44,,C
167,0,3,"Sundman, Master. Charles",male,10.3,1,0,TICK21942,2.79,,S
168,0,3,"Murphy, Mr. John",male,37.7,0,0,TICK42109,12.88,,C
169,1,2,"Brown, Miss. Ruth",female,19.1,1,0,TICK37059,14.53,,C
170,0,3,"Johnson, Mr. Thomas",male,,2,1,TICK31575,5.72,,S
171,0,3,"Smith, Mrs. Margaret",female,31.8,3,0,TICK41363,5.45,,C
172,0,3,"Davies, Mr. Charles",male,,1,0,TICK68108,5.47,,Q
173,0,3,"Sundman, Mr. Henry",male,24.6,1,0,TICK46768,9.66,,S
174,0,1,"Lindblom, Mr. William",male,35.5,1,0,TICK98550,102.17,B8,S
175,1,1,"Davies, Miss. Anna",female,17.4,0,3,TICK89915,49.77,G113,S
176,0,2,"Sundman, Mr. George",male,,0,1,TICK46243,14.17,D3,S
177,0,3,"Andersson, Mr. Charles",male,15.7,1,0,TICK98155,23.7,D69,C
178,0,3,"Carlsson, Mr. Henry",male,43.7,0,0,TICK38919,8.45,,C
179,0,3,"Carlsson, Mr. John",male,,0,0,TICK60553,9.79,,S
180,0,1,"Andersson, Mr. James",male,19.4,4,0,TICK41454,33.09,D2,S
181,0,3,"Johnson, Mr. John",male,,0,0,TICK68675,5.56,,S
182,0,3,"Murphy, Mr. Charles",male,26.1,0,0,TICK12439,12.58,,S
183,0,3,"Olsson, Mr. George",male,38.1,2,2,TICK54436,22.29,,S
184,1,3,"Brown, Miss. Elizabeth",female,8.3,0,0,TICK18086,7.99,,Q
185,0,3,"Petroff, Mr. Charles",male,15.5,4,1,TICK36974,1.2,,C
186,0,1,"Johnson, Mr. Thomas",male,24.1,2,0,TICK14324,78.18,D1,Q
187,0,1,"Brown, Mrs. Mary",female,,0,0,TICK63789,63.24,F32,S
188,1,1,"Murphy, Mrs. Florence",female,41.4,0,0,TICK39151,44.12,C20,C
189,0,2,"Olsson, Mr. John",male,27.6,0,0,TICK44497,20.64,,Q
190,0,2,"Johnson, Miss. Florence",female,38.3,2,0,TICK98592,18.07,,S
191,0,1,"Williams, Mr. William",male,55.7,0,0,TICK74131,179.96,,S
192,0,3,"Andersson, Mr. James",male,26.0,0,1,TICK22712,15.36,,S
193,1,1,"Brown, Mrs. Margaret",female,24.2,2,0,TICK39639,193.3,E13,C
194,0,3,"Murphy, Miss. Mary",female,44.8,0,0,TICK59400,21.19,F106,S
195,0,1,"Smith, Miss. Margaret",female,35.4,0,0,TICK22638,85.69,G13,C
196,0,3,"Olsson, Mr. Charles",male,37.7,1,0,TICK28644,19.44,,S
197,1,1,"Johnson, Mr. George",male,22.4,0,0,TICK70267,44.48,B107,S
198,0,2,"Sundman, Mr. Henry",male,54.0,0,0,TICK13310,11.08,,S
199,1,3,"Johnson, Miss. Anna",female,51.2,0,0,TICK78587,2.55,,C
200,0,3,"Carlsson, Mr. John",male,,0,0,TICK85329,7.45,,C
201,0,3,"Davies, Mr. James",male,37.9,0,0,TICK46498,0.68,,S
202,0,3,"Brown, Miss. Ruth",female,2.6,1,0,TICK21452,12.26,,S
203,0,3,"Sundman, Mr. Charles",male,37.3,0,0,TICK54280,8.19,,S
204,0,1,"Johnson, Mr. John",male,26.5,0,3,TICK22161,50.12,C47,S
205,0,3,"Sundman, Mrs. Elizabeth",female,,0,0,TICK25643,7.84,,S
206,0,1,"Sundman, Mr. Thomas",male,37.9,0,0,TICK83548,148.06,G71,C
207,0,3,"Davies, Miss. Margaret",female,24.6,2,0,TICK94682,9.08,,C
208,1,3,"Murphy, Miss. Florence",female,,0,1,TICK31936,2.43,,S
209,1,3,"Sundman, Mr. Thomas",male,33.8,0,2,TICK98731,35.15,,S
210,1,1,"Davies, Miss. Anna",female,19.4,0,0,TICK27901,103.38,,C
211,0,2,"Olsson, Mr. Henry",male,24.7,2,0,TICK95626,17.91,,S
212,0,2,"Carlsson, Mr. James",male,21.1,0,0,TICK94886,23.4,,S
213,1,1,"Davies, Mrs. Florence",female,24.6,0,0,TICK10980,98.6,D24,C
214,0,3,"Andersson, Mr. Charles",male,,0,1,TICK27489,5.99,,S
215,0,3,"Murphy, Mr. Henry",male,44.8,1,0,TICK61969,16.61,,C
216,0,2,"Johnson, Miss. Mary",female,32.3,2,0,TICK84847,18.86,,C
217,0,3,"Johnson, Miss. Florence",female,43.4,1,0,TICK54066,10.64,,C
218,0,3,"Brown, Mr. Thomas",male,54.7,0,0,TICK37608,2.59,D64,C
219,0,1,"Carlsson, Mr. Charles",male,29.3,0,1,TICK71708,55.86,D92,Q
220,0,3,"Williams, Master. Henry",male,5.6,1,0,TICK60908,7.84,,Q
221,0,3,"Murphy, Mr. John",male,17.4,3,3,TICK61828,6.68,,S
222,1,1,"Davies, Master. John",male,13.3,0,0,TICK37990,50.16,E12,S
223,0,3,"Murphy, Mr. John",male,22.5,1,0,TICK98011,18.53,,C
224,0,3,"Brown, Miss. Florence",female,,0,1,TICK40528,10.18,,Q
225,0,3,"Andersson, Mr. William",male,,0,0,TICK54601,16.75,,S
226,1,1,"Brown, Mr. William",male,33.5,0,0,TICK93904,101.15,E23,S
227,0,3,"Olsson, Master. Thomas",male,9.4,0,0,TICK48278,8.63,,S
228,0,3,"Sundman, Mr. George",male,,4,0,TICK91696,11.28,,S
229,1,3,"Johnson, Miss. Anna",female,,1,0,TICK49741,7.08,,C
230,0,3,"Petroff, Miss. Florence",female,24.9,0,0,TICK25734,5.65,,C
231,0,2,"Smith, Mr. George",male,,1,0,TICK97363,14.96,,S
232,0,3,"Andersson, Mr. Charles",male,,0,2,TICK75198,3.39,,S
233,1,3,"Davies, Miss. Ruth",female,21.0,0,0,TICK42934,8.99,,S
234,0,3,"Davies, Master. John",male,7.1,0,0,TICK22560,21.19,,S
235,0,1,"Carlsson, Mrs. Elizabeth",female,28.6,0,0,TICK31718,44.88,F68,S
236,1,1,"Brown, Mr. George",male,53.0,0,0,TICK36940,87.22,F19,S
237,0,3,"Carlsson, Mrs. Anna",female,54.7,0,0,TICK46186,6.17,,S
238,1,1,"Andersson, Mr. Charles",male,46.2,0,0,TICK16373,54.55,G44,C
239,0,3,"Sundman, Mr. James",male,38.2,0,0,TICK46279,10.52,,S
240,0,3,"Murphy, Mr. Henry",male,20.2,0,0,TICK68309,3.86,,C
241,0,2,"Brown, Mr. George",male,47.8,1,0,TICK17022,7.08,,S
242,0,2,"Williams, Mrs. Mary",female,28.3,1,0,TICK75382,13.33,,S
243,1,3,"Petroff, Mrs. Florence",female,28.1,0,0,TICK90601,10.6,,S
244,0,3,"Davies, Mr. William",male,25.2,0,1,TICK77168,15.77,,S
245,0,1,"Williams, Miss. Margaret",female,30.2,2,0,TICK44414,24.56,,Q
246,1,2,"Smith, Mr. John",male,23.3,0,0,TICK79693,9.83,,Q
247,1,1,"Brown, Mr. John",male,27.9,0,1,TICK75830,85.29,A59,Q
248,0,3,"Andersson, Mr. Henry",male,14.9,0,0,TICK45529,5.84,,S
249,0,3,"Johnson, Mr. James",male,24.1,0,0,TICK64462,5.91,,S
250,0,2,"Smith, Mr. George",male,,3,0,TICK25947,17.34,,S
251,0,2,"Davies, Miss. Florence",female,,0,0,TICK81964,31.37,,C
252,0,3,"Andersson, Miss. Mary",female,25.9,3,0,TICK10387,10.07,,S
253,0,1,"Davies, Mr. James",male,,0,1,TICK75844,51.02,,S
254,0,2,"Andersson, Miss. Margaret",female,38.2,1,1,TICK49620,20.12,,C
255,0,2,"Brown, Miss. Ruth",female,14.5,0,0,TICK10933,14.06,,S
256,0,3,"Brown, Mr. George",male,,1,0,TICK93995,8.85,,S
257,0,1,"Murphy, Mr. Charles",male,,0,1,TICK93525,77.28,D27,S
258,0,3,"Smith, Miss. Anna",female,32.5,1,0,TICK50387,33.51,,S
259,0,3,"Sundman, Mr. John",male,,0,0,TICK21185,33.22,,S
260,0,2,"Davies, Mrs. Ruth",female,49.2,0,1,TICK65423,22.21,,C
